,Timestamp,Job #,Lot #,Quantity,Piece Mark - REV,Weight,Fitter,Fit QC,Welder,Weld QC,Does this piece have a defect?,Date Found,Lot Name,Hours Per Pound,Earned Hours,Has Model
0,2020-11-02 08:15:32,1926,,1.0,B2013-0,567.93,2178,2079,2178,2079,Yes,11/2/2020,T000,,8.33437275,False
1,2020-11-02 08:32:30,1926,,1.0,B2011-0,1171.83,2168,2079,2168,2079,Yes,11/2/2020,T000,,17.19660525,False
2,2020-11-02 09:01:44,1926,,2.0,B2005-0,1110.3,2141,2079,N/A,N/A,NO,,T000,,16.2936525,False
3,2020-11-02 09:03:28,1926,,2.0,HSS2003-0,115.96,2020,2079,N/A,N/A,NO,,T000,,1.701713,False
4,2020-11-02 09:28:29,1926,,1.0,B2015-0,1170.22,2168,2079,2168,2079,NO,,T000,,17.172978500000003,False
5,2020-11-02 09:53:17,1926,,6.0,HSS2001-0,389.08,2105,2079,2105,2079,No,,T000,,5.709749,False
6,2020-11-02 11:04:02,1926,,1.0,HSS1027-0,757.3,2197,2079,2197,2079,No,,T000,,11.1133775,False
7,2020-11-02 11:05:53,1926,,1.0,B1028-0,438.42,2141,2079,N/A,N/A,No,,T000,,6.433813500000001,False
8,2020-11-02 11:46:29,1926,,1.0,B2002-0,615.9,2104,2079,N/A,N/A,No,,T000,,9.038332500000001,False
9,2020-11-02 11:49:26,1926,,1.0,C1009-1,4652.84,2197,2079,2092,2079,No,,T000,,68.280427,False
10,2020-11-02 14:16:50,1926,,1.0,C1020-0,1673.01,2141,2079,2138,2079,No,,T000,,24.55142175,False
11,2020-11-02 14:19:10,1828,,11.0,AN28004-0,16.57,2020,2079,N/A,N/A,No,,T000,,,False
12,2020-11-02 14:22:37,1828,,6.0,AN28001-0,15.79,2020,2079,N/A,N/A,No,,T000,,,False
13,2020-11-02 14:24:32,1828,,2.0,AN28005-0,31.19,2020,2079,N/A,N/A,No,,T000,,,False
14,2020-11-02 14:26:36,1828,,4.0,AN28010-0,37.44,2020,2079,N/A,N/A,No,,T000,,,False
15,2020-11-02 14:38:44,1828,,4.0,AN28011-0,37.44,2020,CSC,N/A,N/A,No,,T000,,,False
16,2020-11-02 14:41:03,1828,,2.0,AN28012-0,37.44,2020,2079,N/A,N/A,No,,T000,,,False
17,2020-11-02 14:42:50,1828,,2.0,AN28013-0,31.19,2020,2079,N/A,N/A,No,,T000,,,False
18,2020-11-02 14:55:02,1926,,1.0,HSS2004-0,981.51,2141,2079,2138,CSC,No,,T000,,14.40365925,False
19,2020-11-02 14:57:25,1926,,1.0,HSS2005-0,831.77,2141,2079,2138,CSC,No,,T000,,12.20622475,False
20,2020-11-03 12:36:30,1926,,1.0,B1000-0,1347.66,2020,2079,2105,CSC,No,,T000,,19.776910500000003,False
21,2020-11-03 12:38:31,1926,,2.0,HSS2002-0,117.36,2O20,2079,2105,CSC,No,,T000,,1.722258,False
22,2020-11-03 12:40:25,1926,,2.0,HSS2003-0,115.96,2020,2079,2105,CSC,No,,T000,,1.701713,False
23,2020-11-03 12:42:25,1926,,1.0,PL2001-0,975.7,2104,2079,2138,CSC,No,,T000,,14.318397500000001,False
24,2020-11-03 12:44:29,1926,,1.0,C1019-1,1799.48,2104,2079,2186,CSC,No,,T000,,26.407369,False
25,2020-11-03 12:46:08,1926,,1.0,B3015-0,695.13,2168,CSC,N/A,N/A,No,,T000,,10.201032750000001,False
26,2020-11-03 12:48:00,1926,,1.0,B2004-0,624.88,2075,CSC,N/A,N/A,No,,T000,,9.170114,False
27,2020-11-03 12:49:39,1926,,1.0,B2012,1232.37,2075,CSC,N/A,N/A,No,,T000,,18.08502975,False
28,2020-11-03 12:51:23,1926,,1.0,B3008-0,424.5,2168,CSC,N/A,N/A,No,,T000,,6.2295375,False
29,2020-11-03 12:53:07,1926,,1.0,B2023,523.75,2168,CSC,N/A,N/A,No,,T000,,7.686031250000001,False
30,2020-11-03 12:55:21,1926,,1.0,C1006-0,1579.28,2197,2079,2092,CSC,No,,T000,,23.175934,False
31,2020-11-03 14:39:34,1926,,1.0,B3021-0,779.07,2197,CSC,N/A,N/A,No,,T000,,11.432852250000002,False
32,2020-11-03 14:42:10,1926,,1.0,PL2000-0,988.05,2141,2130,2138,CSC,No,,T000,,14.499633750000001,False
33,2020-11-03 14:44:09,1926,,1.0,B3025-0,1420.79,2104,CSC,2104,CSC,No,,T000,,20.85009325,False
34,2020-11-04 10:37:18,1926,,1.0,B3011-0,516.72,2075,2079,N/A,N/A,No,,T000,,7.582866000000001,False
35,2020-11-04 10:39:12,1926,,2.0,HSS3018-0,3342.25,2104,2079,2104,2079,No,,T000,,49.04751875,False
36,2020-11-04 11:11:28,1926,,1.0,B3027-0,898.78,2197,CSC,2092,2079,Yes,11/4/2020,T000,,13.1895965,False
37,2020-11-04 14:14:01,1926,,1.0,HSS1025-1,876.89,2104,2079,2104,2079,No,,T000,,12.868360749999999,False
