Timestamp,Date,IsReal,Direct Hours,Indirect Hours,Total Hours,Number Employees,Tons,Quantity Pieces,Earned Hours,Efficiency
2023-05-19 09:55:00,05/14/2023,True,1989.65,433.65,2423.3,58.0,175.35,177.0,1159.24,0.58
2023-05-19 10:10:00,05/14/2023,True,1996.15,434.9,2431.05,58.0,175.35,177.0,1159.24,0.58
2023-05-19 10:25:00,05/14/2023,True,2002.52,436.15,2438.67,58.0,175.35,177.0,1159.24,0.58
2023-05-19 10:39:00,05/14/2023,True,2008.8,437.37,2446.17,58.0,175.35,177.0,1159.24,0.58
2023-05-19 10:54:00,05/14/2023,True,2015.17,438.37,2453.54,58.0,177.79,193.0,1197.23,0.59
2023-05-19 11:09:00,05/14/2023,True,2021.03,439.37,2460.4,58.0,178.08,199.0,1203.21,0.6
2023-05-19 11:24:00,05/14/2023,True,2026.53,440.37,2466.9,58.0,178.08,199.0,1203.21,0.59
2023-05-19 11:39:00,05/14/2023,True,2032.29,441.37,2473.66,58.0,178.08,199.0,1203.21,0.59
2023-05-19 11:54:00,05/14/2023,True,2038.16,442.37,2480.53,58.0,178.08,199.0,1203.21,0.59
2023-05-19 12:09:00,05/14/2023,True,2042.22,443.11,2485.33,58.0,178.08,199.0,1203.21,0.59
2023-05-19 12:24:00,05/14/2023,True,2044.71,443.61,2488.32,58.0,178.08,199.0,1203.21,0.59
2023-05-19 12:40:00,05/14/2023,True,2049.21,444.45,2493.66,58.0,178.08,199.0,1203.21,0.59
2023-05-19 12:55:00,05/14/2023,True,2054.9,445.32,2500.22,58.0,178.08,199.0,1203.21,0.59
2023-05-19 13:10:00,05/14/2023,True,2060.42,445.99,2506.41,58.0,178.6,201.0,1210.02,0.59
2023-05-19 13:26:00,05/14/2023,True,2067.16,446.95,2514.11,58.0,180.14,204.0,1241.19,0.6
2023-05-19 13:41:00,05/14/2023,True,2073.11,447.95,2521.06,58.0,180.14,204.0,1241.19,0.6
2023-05-19 13:55:00,05/14/2023,True,2078.86,448.95,2527.81,58.0,180.14,204.0,1241.19,0.6
2023-05-19 14:10:00,05/14/2023,True,2092.01,442.3,2534.31,58.0,180.14,204.0,1241.19,0.59
2023-05-19 14:26:00,05/14/2023,True,2104.49,437.94,2542.43,58.0,180.71,207.0,1252.22,0.6
2023-05-19 14:42:00,05/14/2023,True,2109.46,438.44,2547.9,58.0,180.71,207.0,1252.22,0.59
2023-05-19 14:57:00,05/14/2023,True,2113.0,438.96,2551.96,58.0,180.71,207.0,1252.22,0.59
2023-05-19 15:13:00,05/14/2023,True,2116.51,439.5,2556.01,58.0,180.71,207.0,1252.22,0.59
2023-05-19 15:28:00,05/14/2023,True,2119.96,440.0,2559.96,58.0,180.71,207.0,1252.22,0.59
2023-05-19 15:43:00,05/14/2023,True,2123.46,440.5,2563.96,58.0,180.71,207.0,1252.22,0.59
2023-05-19 15:58:00,05/14/2023,True,2126.96,441.0,2567.96,58.0,180.71,207.0,1252.22,0.59
2023-05-19 16:13:00,05/14/2023,True,2130.46,441.5,2571.96,58.0,181.46,211.0,1263.89,0.59
2023-05-19 16:28:00,05/14/2023,True,2133.18,441.96,2575.14,58.0,181.46,211.0,1263.89,0.59
2023-05-19 16:43:00,05/14/2023,True,2136.11,442.46,2578.57,58.0,181.46,211.0,1263.89,0.59
2023-05-19 16:58:00,05/14/2023,True,2139.86,442.96,2582.82,58.0,181.46,211.0,1263.89,0.59
2023-05-19 17:14:00,05/14/2023,True,2143.91,443.5,2587.41,58.0,181.46,211.0,1263.89,0.59
2023-05-19 17:28:00,05/14/2023,True,2147.66,444.0,2591.66,58.0,181.67,212.0,1268.33,0.59
2023-05-19 17:43:00,05/14/2023,True,2151.21,444.5,2595.71,58.0,181.67,212.0,1268.33,0.59
2023-05-19 17:58:00,05/14/2023,True,2154.71,445.0,2599.71,58.0,181.67,212.0,1268.33,0.59
2023-05-19 18:13:00,05/14/2023,True,2158.21,445.5,2603.71,58.0,181.67,212.0,1268.33,0.59
2023-05-19 18:28:00,05/14/2023,True,2161.71,446.0,2607.71,58.0,181.67,212.0,1268.33,0.59
2023-05-19 18:43:00,05/14/2023,True,2165.21,446.5,2611.71,58.0,181.67,212.0,1268.33,0.59
2023-05-19 18:59:00,05/14/2023,True,2168.71,447.0,2615.71,58.0,184.43,216.0,1304.42,0.6
2023-05-19 19:14:00,05/14/2023,True,2172.45,447.54,2619.99,58.0,184.43,216.0,1304.42,0.6
2023-05-19 19:29:00,05/14/2023,True,2175.71,448.0,2623.71,58.0,186.75,218.0,1312.24,0.6
2023-05-19 19:45:00,05/14/2023,True,2179.64,448.56,2628.2,58.0,186.75,218.0,1312.24,0.6
2023-05-19 20:00:00,05/14/2023,True,2183.14,449.06,2632.2,58.0,186.75,218.0,1312.24,0.6
