,Train,Test,Val,orders
0,18.845012412468595,75.68708902597427,17.98796246846517,"(0, 0, 0)"
1,18.845997738838197,75.61166992187499,17.970240020751955,"(0, 0, 1)"
2,18.838346246878306,75.57316650152207,17.950897908210756,"(0, 0, 2)"
3,19.065196190277735,75.11485870281855,17.7107698003451,"(0, 1, 0)"
4,18.85850555698077,75.51992111206054,17.537493709723154,"(0, 1, 1)"
5,18.879171874125802,75.52224671840668,17.556409748395286,"(0, 1, 2)"
6,54392598.22836914,5738903.115736898,1844473.648713684,"(0, 2, 0)"
7,19.085018358627956,75.03441010316213,17.693726301193237,"(0, 2, 1)"
8,21.24569434722265,76.43121993144354,16.54789870182673,"(0, 2, 2)"
9,18.844657607873277,75.593782778581,17.96550163427989,"(1, 0, 0)"
10,18.83241447607676,75.5256535132726,17.935342248280843,"(1, 0, 1)"
11,18.823547242085137,75.48301971753439,17.92661053737005,"(1, 0, 2)"
12,19.345413607358932,76.35701705614726,18.003123346964518,"(1, 1, 0)"
13,18.88129225373268,75.52060821056365,17.55783759355545,"(1, 1, 1)"
14,18.290042426188787,77.51854124069214,17.720947603384655,"(1, 1, 2)"
15,2206440.4680859405,229625.77918063002,73549.2196984927,"(1, 2, 0)"
16,19.612229478359225,76.58508780797321,18.043372527758283,"(1, 2, 1)"
17,24.58762596845627,77.09493117729822,16.073380355040232,"(1, 2, 2)"
18,18.836081912120182,75.55728740692139,17.946521333853404,"(2, 0, 0)"
19,18.829413952430087,75.51194032430648,17.930312653382618,"(2, 0, 1)"
20,18.823606844743093,75.4893618663152,17.929546304543813,"(2, 0, 2)"
21,19.278943526744843,76.28987662792206,18.038903399308523,"(2, 1, 0)"
22,18.89141448934873,75.5317555864652,17.568028775850934,"(2, 1, 1)"
23,18.49536879261335,75.94432616631191,17.661479083697003,"(2, 1, 2)"
24,5167.576641845703,519.494224190712,173.65594971179962,"(2, 2, 0)"
25,19.52838158607483,76.52344551881154,18.09702610969543,"(2, 2, 1)"
26,186.03747360706333,92.4976687391599,11.433963270982106,"(2, 2, 2)"
